"","X1","X2","X3"
"303","eric-lunt","1371245079644","crunchbase"
"304","steve-olechowski","1371245080886","crunchbase"
"305","matt-shobe","1371245081985","crunchbase"
"306","charley-cassell","1371245083038","crunchbase"
"307","rick-klau","1371245086149","crunchbase"
"308","don-loeb","1371245087933","crunchbase"
"309","chris-frye","1371245089729","crunchbase"
"310","joe-kottke","1371245090661","crunchbase"
"311","siva-kumar","1371245092063","crunchbase"
"312","mark-ruff","1371245096285","crunchbase"
"313","marc-pfohl","1371245097218","crunchbase"
"314","fabien-bourdier","1371245098215","crunchbase"
"315","anja-keckeisen","1371245099415","crunchbase"
"316","thierry-antinori","1371245100311","crunchbase"
"317","barbara-mahon","1371245101423","crunchbase"
"318","venky-harinarayan","1371245104713","crunchbase"
"319","henry-huff","1371245108415","crunchbase"
"320","tina-nanez","1371245109461","crunchbase"
"321","john-vars","1371245112104","crunchbase"
"322","steven-reading","1371245113495","crunchbase"
"323","scott-rafer","1371245114874","crunchbase"
"324","john-packowski","1371245118714","crunchbase"
"325","joe-kennedy","1371245119491","crunchbase"
"326","nolan-gasser","1371245123388","crunchbase"
"327","etienne-handman","1371245124476","crunchbase"
"328","cheryl-lucanegro","1371245125469","crunchbase"
"329","jessica-stoner-steel","1371245126520","crunchbase"
"330","michael-zapruder","1371245127519","crunchbase"
"331","paul-brown","1371245128940","crunchbase"
"332","peter-gotcher","1371245132467","crunchbase"
"333","robert-kavner","1371245133883","crunchbase"
"334","richard-moross","1371245144715","crunchbase"
"335","robin-klein","1371245145696","crunchbase"
"336","robert-beaver","1371245147773","crunchbase"
"337","fred-durham","1371245151359","crunchbase"
"338","maheesh-jain","1371245152544","crunchbase"
"339","ramit-sethi","1371245167885","crunchbase"
"340","nathan-schmidt","1371245169076","crunchbase"
"341","konstantin-othmer","1371245170855","crunchbase"
"342","peter-weck","1371245172227","crunchbase"
"343","jon-feiber","1371245173837","crunchbase"
"344","david-jackson","1371245174882","crunchbase"
"345","mick-weinstein","1371245175807","crunchbase"
"346","neal-harow","1371245176807","crunchbase"
"347","sean-varah","1371245177856","crunchbase"
"348","raphael-arbuz","1371245181888","crunchbase"
"349","thibault-vanhulle","1371245183057","crunchbase"
"350","erez-abittan","1371245183892","crunchbase"
"351","iggy-fanlo","1371245185259","crunchbase"
"352","gidon-wise","1371245186363","crunchbase"
"353","david-marks","1371245187383","crunchbase"
"354","francis-kelly","1371245188282","crunchbase"
"355","dave-mcmurtry","1371245189376","crunchbase"
"356","ken-fromm","1371245190201","crunchbase"
"357","peter-gray","1371245195406","crunchbase"
"358","dan-nye","1371245199648","crunchbase"
"359","steve-sordello","1371245205658","crunchbase"
"360","jean-luc-vaillant","1371245206514","crunchbase"
"361","anil-khatri","1371245207546","crunchbase"
"362","allen-blue","1371245208502","crunchbase"
"363","patrick-crane","1371245209629","crunchbase"
"364","isaac-applbaum","1371245210784","crunchbase"
"365","gill-cogan","1371245212685","crunchbase"
"366","ken-elefant","1371245213669","crunchbase"
"367","dan-phelps","1371245214743","crunchbase"
"368","jay-bhatti","1371245217748","crunchbase"
"369","hongche-liu","1371245218845","crunchbase"
"370","jaideep-singh","1371245219785","crunchbase"
"371","rahul-prakash","1371245220795","crunchbase"
"372","david-shirazi","1371245222174","crunchbase"
"373","david-mcintosh","1371245223214","crunchbase"
"374","daniel-o-connor","1371245229349","crunchbase"
"375","eric-sackowitz","1371245230345","crunchbase"
"376","david-leibowitz","1371245232992","crunchbase"
"377","laurent-kratz","1371245234205","crunchbase"
"378","sylvain-zimmer","1371245235184","crunchbase"
"379","pierre-gerard","1371245236661","crunchbase"
"380","amelie-roelants","1371245237537","crunchbase"
"381","nicolas-hairon","1371245238374","crunchbase"
"382","martin-ottenwaelter","1371245239204","crunchbase"
"383","john-pierce","1371245240117","crunchbase"
"384","louis-stilp","1371245241205","crunchbase"
"385","kirby-campbell","1371245242157","crunchbase"
"386","calvin-tang","1371245243215","crunchbase"
"387","lance-anderson","1371245244286","crunchbase"
"388","mark-budos","1371245245267","crunchbase"
"389","west-shell","1371245254405","crunchbase"
"390","dean-stephens","1371245255450","crunchbase"
"391","christopher-tucher","1371245256450","crunchbase"
"392","niraj-katwala","1371245257619","crunchbase"
"393","tony-gentile","1371245258510","crunchbase"
"394","hadi-partovi","1371245262333","crunchbase"
"395","matthew-sewell","1371245266339","crunchbase"
"396","jerry-harrison","1371245267760","crunchbase"
"397","marc-bodnick","1371245270636","crunchbase"
"398","mark-sugarman","1371245272070","crunchbase"
"399","george-martin","1371245273217","crunchbase"
"400","bob-pittman","1371245275244","crunchbase"
"401","jennifer-leimgruber","1371245276712","crunchbase"
"402","dominic-sandifer","1371245277645","crunchbase"
"403","aditya-palande","1371245280379","crunchbase"
"404","sunny-balijepalli","1371245283184","crunchbase"
"405","russell-holt","1371245284329","crunchbase"
"406","georges-harik","1371245288890","crunchbase"
"407","dylan-smith","1371245293356","crunchbase"
"408","jeff-queisser","1371245294534","crunchbase"
"409","sam-ghods","1371245295669","crunchbase"
"410","alex-scialom","1371245296593","crunchbase"
"411","vasily-kilin","1371245300970","crunchbase"
"412","jiong-ma","1371245308711","crunchbase"
"413","reena-jadhav","1371245315100","crunchbase"
"414","dror-erez","1371245316327","crunchbase"
"415","gaby-bilczyk","1371245317210","crunchbase"
"416","jeff-wang","1371245318105","crunchbase"
"417","manish-chandra","1371245319194","crunchbase"
"418","chetan-pungaliya","1371245321562","crunchbase"
"419","steven-mcarthur","1371245325337","crunchbase"
"420","cheryl-rosner","1371245326145","crunchbase"
"421","lachlan-murdoch","1371245327191","crunchbase"
"422","vivi-nevo","1371245328588","crunchbase"
"423","nick-grouf","1371245329475","crunchbase"
"424","om-malik","1371245333043","crunchbase"
"425","katie-fehrenbacher","1371245334617","crunchbase"
"426","liz-gannes","1371245335519","crunchbase"
"427","wagner-james-au","1371245336595","crunchbase"
"428","anne-zelenka","1371245337596","crunchbase"
"429","judi-sohn","1371245338506","crunchbase"
